"TEAM_NAME","GAME_DATE","E_OFF_RATING","E_DEF_RATING","E_NET_RATING"
"Dallas Mavericks",2018-10-17,104.4,128.7,-24.3
"Dallas Mavericks",2018-10-20,122.9,120.8,2.1
"Dallas Mavericks",2018-10-22,109.3,107.7,1.6
"Dallas Mavericks",2018-10-24,94.2,101.2,-7.1
"Dallas Mavericks",2018-10-26,99.5,115.1,-15.6
"Dallas Mavericks",2018-10-28,101,113.4,-12.4
"Dallas Mavericks",2018-10-29,95.2,100.7,-5.5
"Dallas Mavericks",2018-10-31,105.3,107,-1.7
"Dallas Mavericks",2018-11-02,106.5,121.1,-14.6
"Dallas Mavericks",2018-11-06,116.8,99.2,17.6
"Dallas Mavericks",2018-11-07,98.5,112,-13.6
"Dallas Mavericks",2018-11-10,115,101.1,13.9
"Dallas Mavericks",2018-11-12,98.3,91,7.3
"Dallas Mavericks",2018-11-14,117.3,65.8,51.6
"Dallas Mavericks",2018-11-17,108.8,107.4,1.4
"Dallas Mavericks",2018-11-19,86.9,101.9,-15
"Dallas Mavericks",2018-11-21,117.8,111.6,6.2
"Dallas Mavericks",2018-11-24,113.9,103.3,10.6
"Dallas Mavericks",2018-11-28,127.3,107.9,19.4
"Dallas Mavericks",2018-11-30,95.4,104.5,-9.1
"Dallas Mavericks",2018-12-02,108.1,102.2,6
"Dallas Mavericks",2018-12-04,109.5,99.9,9.6
"Dallas Mavericks",2018-12-05,98.8,122.4,-23.6
"Dallas Mavericks",2018-12-08,115,111,4
"Dallas Mavericks",2018-12-10,103.1,75.8,27.2
"Dallas Mavericks",2018-12-12,109.7,102.7,7
"Dallas Mavericks",2018-12-13,87.7,98.1,-10.4
"Dallas Mavericks",2018-12-16,105,114,-9
"Dallas Mavericks",2018-12-18,116.6,123.6,-7
"Dallas Mavericks",2018-12-20,118,128,-10
"Dallas Mavericks",2018-12-22,108.1,116.5,-8.4
"Dallas Mavericks",2018-12-23,100.6,105.7,-5.1
"Dallas Mavericks",2018-12-26,119.9,112.1,7.9
"Dallas Mavericks",2018-12-28,114.8,115.3,-0.4
"Dallas Mavericks",2018-12-30,99.4,97,2.4
"Dallas Mavericks",2018-12-31,90.3,103.9,-13.6
"Dallas Mavericks",2019-01-02,118.5,83.7,34.8
"Dallas Mavericks",2019-01-04,93.6,114.2,-20.6
"Dallas Mavericks",2019-01-05,96,106.5,-10.5
"Dallas Mavericks",2019-01-07,95.5,98.3,-2.8
"Dallas Mavericks",2019-01-09,102.2,92.8,9.3
"Dallas Mavericks",2019-01-11,114.9,110.9,4
"Dallas Mavericks",2019-01-13,116.6,121.1,-4.5
"Dallas Mavericks",2019-01-16,107.4,121.7,-14.3
"Dallas Mavericks",2019-01-19,103.3,116.2,-12.8
"Dallas Mavericks",2019-01-21,99.5,107.7,-8.2
"Dallas Mavericks",2019-01-22,108.4,100.2,8.2
"Dallas Mavericks",2019-01-25,111.3,105.2,6.1
"Dallas Mavericks",2019-01-27,112.2,123.3,-11.2
"Dallas Mavericks",2019-01-30,113.1,92.5,20.6
"Dallas Mavericks",2019-01-31,93.5,101,-7.4
"Dallas Mavericks",2019-02-02,115.2,103.7,11.5
"Dallas Mavericks",2019-02-06,99.5,90.7,8.8
"Dallas Mavericks",2019-02-08,106.2,120.5,-14.3
"Dallas Mavericks",2019-02-10,99.9,101.9,-2
"Dallas Mavericks",2019-02-11,104.1,121.7,-17.6
"Dallas Mavericks",2019-02-13,101.3,112,-10.6
"Dallas Mavericks",2019-02-22,97.6,107.5,-9.9
"Dallas Mavericks",2019-02-23,109.1,126.9,-17.8
"Dallas Mavericks",2019-02-25,114.4,115.3,-0.9
"Dallas Mavericks",2019-02-27,112.1,106,6.1
"Dallas Mavericks",2019-03-02,83.9,111.5,-27.6
"Dallas Mavericks",2019-03-04,83.3,122.9,-39.6
"Dallas Mavericks",2019-03-06,125.1,129.4,-4.3
"Dallas Mavericks",2019-03-08,106,111.1,-5.1
"Dallas Mavericks",2019-03-10,99.1,96.2,2.8
"Dallas Mavericks",2019-03-12,106.7,118,-11.3
"Dallas Mavericks",2019-03-14,104.8,109.3,-4.5
"Dallas Mavericks",2019-03-16,131.5,121.2,10.2
"Dallas Mavericks",2019-03-18,104.4,110.6,-6.2
"Dallas Mavericks",2019-03-20,111.3,121.2,-9.8
"Dallas Mavericks",2019-03-21,98.9,116.8,-17.9
"Dallas Mavericks",2019-03-23,133.1,89.9,43.2
"Dallas Mavericks",2019-03-26,127.3,130.1,-2.8
"Dallas Mavericks",2019-03-28,96.6,103.1,-6.5
"Dallas Mavericks",2019-03-31,105.9,102.3,3.6
"Dallas Mavericks",2019-04-01,113.1,95.3,17.8
"Dallas Mavericks",2019-04-03,104.5,110.2,-5.7
"Dallas Mavericks",2019-04-05,108.5,120.7,-12.3
"Dallas Mavericks",2019-04-07,118.4,116.2,2.2
"Dallas Mavericks",2019-04-09,112.3,99.7,12.6
"Dallas Mavericks",2019-04-10,97.6,106.1,-8.5
